id,name,surname,faculty,phone number,course,education level,score,role
83,Іван Олексійович Дубовик,,Механіко-математичний факультет,050 543 6209,1,бакалавріат,79,Студент
85,Владислав,Ковальчук,ФРЕКС,0391089693,1,магістр,64,Студент
87,Катерина Олексіївна,Петренко,Факультет комп'ютрених наук та кібернетики,0393019619,1,бакалаврат,3,Студентка
88,Богдан Григорійович Федоренко,,ФКНК,0955444488,1,магістр,90,Студент
94,Андрій Андрійович,Білоус,Факультет комп'ютрених наук та кібернетики,0991224802,1,магістратура,99,Студент
95,Марія Іванівна,Гриценко,Факультет радіофізики електроніки та комп'ютерних систем,+38(063) 706-02-50,1,аспірант,4,Студент
97,Григорій Петрович,Ткаченко,Мех-мат,039 615 0533,1,бакалавр,73,Студент
99,Ірина,Даниленко,ФРЕКС,0967412965,1,бакалаврат,100,Студентка
100,Олександр Олексійович Сидоренко,,ФКНК,0663000107,1,бакалавріат,89,Студент
101,Олена Олексіївна,Клименко,ФІТ,098 642 3427,1,магістратура,84,Студентка
115,Анастасія Ковальчук,,ФРЕКС,097 774 7393,1,аспірант,92,Студентка
116,Михайло Шаповал,,ФКНК,+38(073) 199-53-22,1,магістр,73,Студент
117,Катерина Богданівна,Соловей,Факультет інформаційних технологій,073 741 4344,1,бакалавріат,98,Студент
119,Дмитро Михайлович Корнієнко,,Факультет радіофізики електроніки та комп'ютерних систем,098 618 7828,1,бакалаврат,96,Студент
122,Василь Васильович,Морозенко,Факультет радіофізики електроніки та комп'ютерних систем,067 378 8829,1,бакалаврат,92,Студент
0,Михайло,Філіпенко,Факультет комп'ютрених наук та кібернетики,+38(073) 538-03-23,2,магістр,72,Студент
1,Григорій Петрович,Гнатюк,Факультет радіофізики електроніки та комп'ютерних систем,0771105301,2,магістр,92,Студент
5,Григорій Богданович,Паламарчук,Факультет комп'ютрених наук та кібернетики,0671566351,2,магістр,96,Студент
14,Іван Михайлович Гнатюк,,Факультет радіофізики електроніки та комп'ютерних систем,+38(073) 967-23-49,2,аспірантура,64,Студент
20,Олександр,Шаповал,ФРЕКС,0638579903,2,бакалавріат,95,Студент
23,Богдан Олексійович,Даниленко,Факультет комп'ютрених наук та кібернетики,0992159878,2,бакалаврат,81,Студент
24,Андрій Васильович,Сидоренко,Факультет інформаційних технологій,+38(039) 814-58-18,2,магістр,79,Студент
26,Марія Дмитрівна,Савченко,Факультет комп'ютрених наук та кібернетики,098 547 5789,2,магістратура,62,Студентка
31,Тетяна,Ткаченко,ФКНК,0665818215,2,магістратура,93,Студентка
40,Григорій Дмитрович Ткаченко,,ФРЕКС,050 494 6788,2,бакалавріат,77,Студент
41,Петро,Чорненко,Факультет інформаційних технологій,067 184 7159,2,бакалавріат,92,Студент
42,Катерина Петрівна,Бондаренко,Факультет радіофізики електроніки та комп'ютерних систем,067 767 7794,2,аспірант,99,Студент
45,Ірина Андріївна,Лисенко,ФІТ,0688870397,2,бакалаврат,74,Студентка
48,Богдан Богданович,Яцек,ФРЕКС,095 562 9937,2,аспірантура,70,Студент
50,Андрій Тарасенко,,Факультет комп'ютрених наук та кібернетики,095 927 8928,2,аспірант,77,Студент
51,Марія Михайлівна,Мазуренко,ФРЕКС,0679606584,2,бакалаврат,98,Студентка
57,Олена Григоріївна,Степаненко,Мех-мат,+38(096) 384-84-97,2,магістр,75,Студентка
61,Дмитро,Клименко,ФІТ,0775505447,2,бакалавріат,5,Студент
68,Андрій Сергійович Якимчук,,Факультет радіофізики електроніки та комп'ютерних систем,0684586126,2,бакалавр,64,Студент
75,Марія Богданівна,Піддубний,Факультет інформаційних технологій,+38(067) 753-65-67,2,магістр,80,Студент
77,Катерина Григоріївна,Ярошенко,ФКНК,0679260832,2,бакалаврат,97,Студентка
80,Тетяна Петрівна,Семененко,Факультет радіофізики електроніки та комп'ютерних систем,067 231 7957,2,аспірант,3,Студент
81,Дмитро Сергійович,Захарченко,ФКНК,+38(067) 950-40-72,2,бакалаврат,69,Студент
86,Оксана Григоріївна,Дубовик,Механіко-математичний факультет,073 925 8417,2,магістратура,89,Студентка
89,Михайло Іванович,Гордієнко,Факультет комп'ютрених наук та кібернетики,0396049178,2,аспірантура,91,Студент
90,Григорій Богданович Сердюк,,Факультет комп'ютрених наук та кібернетики,0667229933,2,аспірант,5,Студент
93,Богдан Сергійович Філіпенко,,ФРЕКС,+38(068) 500-30-93,2,магістр,85,Студент
98,Михайло Сергійович,Ігнатенко,Механіко-математичний факультет,0505850423,2,аспірантура,61,Студент
102,Катерина Богданівна Дорошенко,,Факультет інформаційних технологій,+38(063) 589-05-01,2,магістр,93,Студентка
104,Оксана,Кушніренко,ФІТ,+38(068) 899-64-49,2,бакалаврат,5,Студент
106,Владислав Богданович,Гриценко,ФРЕКС,0778530614,2,магістр,78,Студент
108,Оксана Петрівна Корнієнко,,ФІТ,0971562478,2,аспірантура,96,Студентка
109,Іван Васильович Гриценко,,Факультет комп'ютрених наук та кібернетики,0959000426,2,магістратура,83,Студент
110,Василь Петрович,Гриценко,Механіко-математичний факультет,+38(066) 508-39-81,2,аспірантура,99,Студент
111,Олександр Петрович,Ткаченко,ФРЕКС,+38(067) 112-84-29,2,магістратура,66,Студент
114,Марія Григоріївна,Сидоренко,ФІТ,+38(098) 981-01-37,2,магістр,85,Студентка
123,Владислав Михайлович,Федоренко,ФІТ,073 806 9534,2,аспірантура,82,Студент
15,Сергій,Мірошниченко,ФКНК,0938242247,3,аспірантура,63,Студент
17,Григорій Васильович,Рибалко,Мех-мат,+38(099) 671-99-16,3,бакалавріат,99,Студент
18,Владислав Сергійович,Романенко,ФКНК,+38(096) 276-92-49,3,бакалавріат,81,Студент
21,Катерина Богданівна,Соловей,ФКНК,+38(099) 698-03-06,3,аспірант,82,Студент
28,Василь Васильович,Піддубний,Механіко-математичний факультет,0504298818,3,бакалавріат,89,Студент
33,Іван Михайлович,Василенко,Факультет інформаційних технологій,+38(066) 609-30-54,3,аспірант,100,Студент
39,Тетяна Василівна Дорошенко,,ФРЕКС,+38(050) 893-04-61,3,бакалавр,87,Студентка
44,Катерина Богданівна,Гнатюк,Факультет комп'ютрених наук та кібернетики,068 496 5720,3,бакалавр,91,Студент
49,Тетяна Дмитрівна,Лавренко,ФКНК,0735764182,3,бакалавріат,67,Студентка
70,Володимир Богданович,Дубовик,ФРЕКС,+38(050) 961-78-13,3,бакалавр,63,Студент
72,Сергій Сергійович,Дубовик,Мех-мат,0679366111,3,аспірант,96,Студент
78,Богдан Петрович,Білоус,Факультет радіофізики електроніки та комп'ютерних систем,0396475216,3,бакалавріат,4,Студент
79,Наталія Богданівна,Воронюк,ФРЕКС,063 163 0429,3,бакалавр,97,Студент
91,Тетяна Василівна,Лисенко,Факультет інформаційних технологій,068 642 3354,3,бакалавр,85,Студентка
96,Олександр Михайлович,Шевченко,Факультет радіофізики електроніки та комп'ютерних систем,050 962 6918,3,аспірант,88,Студент
112,Владислав Богданович,Мірошниченко,Факультет радіофізики електроніки та комп'ютерних систем,+38(073) 677-45-60,3,аспірантура,79,Студент
118,Марія Богданівна,Чумак,Факультет інформаційних технологій,0736371063,3,бакалавріат,3,Студентка
120,Сергій Сергійович,Дубовик,Механіко-математичний факультет,+38(067) 936-61-11,3,аспірант,96,Студент
121,Петро Андрійович,Жовтобрюх,ФКНК,+38(068) 608-40-33,3,аспірантура,91,Студент
3,Юлія Василівна,Воронюк,ФКНК,073 713 1025,4,бакалавр,79,Студентка
4,Оксана Михайлівна,Степаненко,ФКНК,+38(099) 373-50-51,4,бакалавріат,79,Студентка
8,Юлія Петрівна,Лисенко,Факультет радіофізики електроніки та комп'ютерних систем,+38(073) 946-29-38,4,бакалавр,90,Студентка
9,Петро Дмитрович,Гончаренко,Факультет інформаційних технологій,+38(097) 776-65-84,4,аспірант,72,Студент
10,Михайло Іванович,Якимчук,Механіко-математичний факультет,066 843 9200,4,бакалавр,72,Студент
11,Марія,Кравченко,Факультет комп'ютрених наук та кібернетики,077 500 3128,4,бакалавріат,86,Студент
19,Владислав Михайлович,Бондар,ФІТ,0775516203,4,бакалавр,93,Студент
22,Іван Богданович,Бондаренко,Факультет радіофізики електроніки та комп'ютерних систем,+38(050) 785-44-97,4,аспірант,87,Студент
25,Сергій Сергійович,Ткаченко,ФКНК,0668381418,4,бакалавріат,100,Студент
36,Ірина Петрівна,Філіпенко,ФКНК,+38(067) 103-27-14,4,аспірантура,88,Студент
59,Олена Іванівна,Ігнатенко,ФРЕКС,050 681 3180,4,бакалавріат,98,Студентка
60,Наталія Олексіївна,Сердюк,ФКНК,097 423 9116,4,бакалавр,63,Студент
64,Катерина,Клименко,ФРЕКС,095 188 5052,4,бакалавр,73,Студент
66,Андрій Богданович,Поляков,Факультет радіофізики електроніки та комп'ютерних систем,063 313 2570,4,бакалавріат,89,Студент
67,Оксана,Шевченко,Механіко-математичний факультет,0983407949,4,бакалавр,75,Студентка
69,Сергій Михайлович,Бондаренко,ФКНК,0991550776,4,аспірантура,82,Студент
73,Катерина Дмитрівна,Семененко,ФРЕКС,0639475133,4,бакалавр,97,Студентка
84,Василь,Кушніренко,ФРЕКС,0663372998,4,аспірант,4,Студент
92,Сергій Петрович,Поляков,ФКНК,+38(063) 604-17-42,4,бакалавріат,60,Студент
103,Михайло,Гнатюк,Факультет інформаційних технологій,097 431 6581,4,бакалавріат,62,Студент
105,Олександр Михайлович Савченко,,Факультет радіофізики електроніки та комп'ютерних систем,063 201 3806,4,бакалавріат,78,Студент
107,Василь Михайлович Морозенко,,ФІТ,+38(097) 407-04-16,4,аспірант,75,Студент
113,Олена Григоріївна,Філіпенко,ФРЕКС,095 276 7603,4,аспірант,82,Студентка
124,Юлія,Мазуренко,Механіко-математичний факультет,+38(097) 573-67-96,,,85,Викладачка
125,Володимир,Дубровський,Механіко-математичний факультет,0397191744,,,80,Викладач
126,Владислав Іванович,Клименко,ФРЕКС,0968128397,,,72,Викладач
127,Олександр,Поляков,Факультет інформаційних технологій,066 850 8565,,,90,Викладач
128,Оксана Григоріївна,Філіпенко,ФКНК,077 865 6042,,,98,Викладачка
129,Тетяна Михайлівна,Клименко,Факультет радіофізики електроніки та комп'ютерних систем,063 419 3806,,,91,Викладачка
130,Іван Михайлович,Гаврилюк,ФІТ,068 501 9924,,,100,Викладач
